SECMCA 
Sector monetario y financiero
  Moneda y cr?dito (estad?sticas armonizadas)

Credito total por sector
Unidades: Millones de moneda nacional

; Honduras;
 2019M10;80,853.4;
 2019M11;83,374.2;
 2019M12;83,094.1;
 2020M01;90,600.8;
 2020M02;94,130.1;
 2020M03;84,574.6;
 2020M04;82,936.4;
 2020M05;81,820.8;
 2020M06;82,624.3;
 2020M07;82,651.0;
 2020M08;86,431.3;
 2020M09;96,508.0;


Fuente: Bancos Centrales de Centroamérica y República Dominicana
 Copyright SECMCA 2020
